name,type,source_id,source_label,target_id,target_label,transaction_date,value_date,amount,currency,status,exchange_rate,base_amount,base_currency,description
Lohnzahlung Employer AG,income,EmployerAG,Employer AG,Account2,ZKB Privatkonto,2026-01-23,2026-01-23,5617.7,CHF,settled,1.0,5617.7,CHF,
Lohnzahlung Employer AG,income,EmployerAG,Employer AG,Account2,ZKB Privatkonto,2026-02-24,2026-02-24,5617.7,CHF,settled,1.0,5617.7,CHF,
Lohnzahlung Employer AG,income,EmployerAG,Employer AG,Account2,ZKB Privatkonto,2026-03-24,2026-03-24,5617.7,CHF,settled,1.0,5617.7,CHF,
Lohnzahlung Employer AG,income,EmployerAG,Employer AG,Account2,ZKB Privatkonto,2026-04-24,2026-04-24,5617.7,CHF,settled,1.0,5617.7,CHF,
Belastung TWINT: MOUNTAIN VISION AG LAAX GR 2,expense,Account2,ZKB Privatkonto,Mountain_Vision,Mountain Vision (Laax),2026-05-17,2026-05-17,79.75,CHF,settled,1.0,79.75,CHF,
Miete,expense,Account2,ZKB Privatkonto,Rent,Rent,2026-05-22,2026-05-22,3000,CHF,settled,1.0,3000,CHF,
Lohnzahlung Employer AG,income,EmployerAG,Employer AG,Account2,ZKB Privatkonto,2026-05-22,2026-05-22,5617.7,CHF,settled,1.0,5617.7,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-05-27,2026-05-27,21.15,CHF,settled,1.0,21.15,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-05-28,2026-05-28,203.5,CHF,settled,1.0,203.5,CHF,
"Belastung eBill: Wingo, Contact Center, 3050 Bern, CH",expense,Account2,ZKB Privatkonto,Wingo,Wingo,2026-05-29,2026-05-29,32.95,CHF,settled,1.0,32.95,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-05-30,2026-05-30,74.35,CHF,settled,1.0,74.35,CHF,
Gebühr ZKB inklusiv Basis,expense,Account2,ZKB Privatkonto,ZKB,ZKB,2026-06-02,2026-05-31,4,CHF,settled,1.0,4,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-06-03,2026-06-03,42.8,CHF,settled,1.0,42.8,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-06-05,2026-06-05,6.75,CHF,settled,1.0,6.75,CHF,
Belastung TWINT: Privatzahlung,expense,Account2,ZKB Privatkonto,TWINT_P2P,TWINT,2026-06-09,2026-06-09,20,CHF,settled,1.0,20,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-06-10,2026-06-10,41.75,CHF,settled,1.0,41.75,CHF,
"Belastung TWINT: STADT ZUERICH, SPORTAMT ZURICH",expense,Account2,ZKB Privatkonto,Sportamt_Zuerich,Stadt Zürich Sportamt,2026-06-13,2026-06-13,110,CHF,settled,1.0,110,CHF,
Belastung TWINT: CINERENT AG NIEDERGLATT ZH,expense,Account2,ZKB Privatkonto,Cinerent,Cinerent Open-Air-Kino,2026-06-15,2026-06-15,32,CHF,settled,1.0,32,CHF,
Belastung TWINT: Privatzahlung,expense,Account2,ZKB Privatkonto,TWINT_P2P,TWINT,2026-06-16,2026-06-16,24,CHF,settled,1.0,24,CHF,
Belastung TWINT: ZUERICHSEE-SCHIFFFAHRTS- ZURICH,expense,Account2,ZKB Privatkonto,Zuerichsee_Schifffahrt,Zürichsee-Schifffahrt,2026-06-17,2026-06-17,184,CHF,settled,1.0,184,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-06-22,2026-06-22,89.8,CHF,settled,1.0,89.8,CHF,
"Belastung Mobile Banking: FedEx Express Swiss Post GmbH, Wiggermatte 2",expense,Account2,ZKB Privatkonto,FedEx,FedEx,2026-06-23,2026-06-23,28.9,CHF,settled,1.0,28.9,CHF,
Gutschrift TWINT: ZUERICHSEE-SCHIFFFAHRTS- ZURICH,income,Zuerichsee_Schifffahrt,Zürichsee-Schifffahrt,Account2,ZKB Privatkonto,2026-06-24,2026-06-24,184,CHF,settled,1.0,184,CHF,
Miete,expense,Account2,ZKB Privatkonto,Rent,Rent,2026-06-25,2026-06-25,3000,CHF,settled,1.0,3000,CHF,
Lohnzahlung Employer AG,income,EmployerAG,Employer AG,Account2,ZKB Privatkonto,2026-06-25,2026-06-25,5617.7,CHF,settled,1.0,5617.7,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-06-27,2026-06-27,43.8,CHF,settled,1.0,43.8,CHF,
"Belastung eBill: Wingo, Contact Center, 3050 Bern, CH",expense,Account2,ZKB Privatkonto,Wingo,Wingo,2026-06-30,2026-06-30,32.95,CHF,settled,1.0,32.95,CHF,
Belastung TWINT: Privatzahlung,expense,Account2,ZKB Privatkonto,TWINT_P2P,TWINT,2026-07-01,2026-07-01,20,CHF,settled,1.0,20,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-07-01,2026-07-01,128.45,CHF,settled,1.0,128.45,CHF,
Gebühr ZKB inklusiv Basis,expense,Account2,ZKB Privatkonto,ZKB,ZKB,2026-07-02,2026-06-30,4,CHF,settled,1.0,4,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-07-04,2026-07-04,56.7,CHF,settled,1.0,56.7,CHF,
Belastung TWINT: SBB EASYRIDE BERN,expense,Account2,ZKB Privatkonto,SBB_EasyRide,SBB,2026-07-15,2026-07-15,5,CHF,settled,1.0,5,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-07-15,2026-07-15,33.1,CHF,settled,1.0,33.1,CHF,
Belastung TWINT: COOP-2848 ZH SIHLCITY FOOD ZURICH,expense,Account2,ZKB Privatkonto,Coop_Sihlcity_Food,Coop,2026-07-18,2026-07-18,132.05,CHF,settled,1.0,132.05,CHF,
Miete,expense,Account2,ZKB Privatkonto,Rent,Rent,2026-07-24,2026-07-24,3000,CHF,settled,1.0,3000,CHF,
Lohnzahlung Employer AG,income,EmployerAG,Employer AG,Account2,ZKB Privatkonto,2026-07-24,2026-07-24,5617.7,CHF,settled,1.0,5617.7,CHF,
Belastung TWINT: SBB EASYRIDE BERN,expense,Account2,ZKB Privatkonto,SBB_EasyRide,SBB,2026-07-24,2026-07-24,3.3,CHF,settled,1.0,3.3,CHF,
"Belastung Mobile Banking: Fehr Braunwalder AG, Zürcherstrasse 501",expense,Account2,ZKB Privatkonto,Fehr_Braunwalder,Fehr Braunwalder,2026-07-30,2026-07-30,43.5,CHF,settled,1.0,43.5,CHF,
Belastung TWINT: SBB EASYRIDE BERN,expense,Account2,ZKB Privatkonto,SBB_EasyRide,SBB,2026-07-30,2026-07-30,3.3,CHF,settled,1.0,3.3,CHF,
Belastung TWINT: BRACK - DEIN SCHWEIZER ONLINE MAGENWIL,expense,Account2,ZKB Privatkonto,Brack,Brack,2026-07-30,2026-07-30,333.9,CHF,settled,1.0,333.9,CHF,
"Belastung eBill: Wingo, Contact Center, 3050 Bern, CH",expense,Account2,ZKB Privatkonto,Wingo,Wingo,2026-07-31,2026-07-31,32.95,CHF,settled,1.0,32.95,CHF,
